nacl,sugar,chewiness
150,209.3,2.7466
180,258.5,2.112
170,242.1,1.4141
150,209.3,2.6526
180,258.5,2.04
160,225,4.4895
160,225,2.0722
150,209.3,3.1171
160,225,2.3977
130,176.5,2.2266
150,209.3,2.5941
150,209.3,3.2016
150,209.3,3.0857
130,176.5,3.0703
140,192.6,3.6314
170,242.1,2.0976
150,209.3,3.9999
170,242.1,1.2226
140,192.6,3.3163
160,225,2.6824
130,176.5,4.7656
140,192.6,3.6039
180,258.5,1.2969
160,225,0.8833
180,258.5,1.69
150,209.3,3.964
160,225,4.1883
150,209.3,3.9685
170,242.1,2.1817
160,225,1.6433
130,176.5,5.5386
140,192.6,3.0917
180,258.5,0.4185
140,192.6,2.2918
160,225,2.1001
170,242.1,3.2145
160,225,3.1528
170,242.1,2.5725
130,176.5,2.499
150,209.3,3.3389
150,209.3,3.4251
140,192.6,3.7707
140,192.6,4.4036
170,242.1,1.1273
160,225,0.995
180,258.5,1.5389
130,176.5,4.3668
150,209.3,0.6925
140,192.6,3.0021
140,192.6,3.4703
170,242.1,1.4921
140,192.6,3.738
160,225,3.7186
170,242.1,2.2254
150,209.3,3.3025
130,176.5,4.9845
150,209.3,2.7557
170,242.1,2.2401
160,225,3.4452
170,242.1,2.3168
180,258.5,2.236
130,176.5,4.1262
160,225,3.1512
180,258.5,1.5142
130,176.5,1.8404
180,258.5,1.2349
180,258.5,1.9316
140,192.6,4.296
130,176.5,3.6588
150,209.3,1.8552
170,242.1,1.2011
